dataset,variant,rep,k_true,k_hat,NMI,ARI,F1,Purity,Q
Karate,PHSCD (full),0,2,2,0.8371694628777809,0.8822575413558222,0.939449541284402,0.9705882352941176,0.40362811791383213
Karate,w/o persistence,0,2,2,0.8371694628777809,0.8822575413558222,0.939449541284402,0.9705882352941176,0.40362811791383213
Karate,w/o seeds,0,2,4,0.592526998048449,0.48307591192901744,0.6635294117647043,0.9705882352941176,0.4384100747737111
Karate,w/o refinement,0,2,2,0.8371694628777809,0.8822575413558222,0.939449541284402,0.9705882352941176,0.40362811791383213
Karate,w/o bias (p=q=1),0,2,2,0.8371694628777809,0.8822575413558222,0.939449541284402,0.9705882352941176,0.40362811791383213
Karate,PHSCD (full),1,2,2,1.0,1.0,0.9999999999999981,1.0,0.39143756676224206
Karate,w/o persistence,1,2,2,1.0,1.0,0.9999999999999981,1.0,0.39143756676224206
Karate,w/o seeds,1,2,3,0.5683801456945561,0.5905528950805399,0.7644628099173537,0.9411764705882353,0.43210397106501003
Karate,w/o refinement,1,2,2,1.0,1.0,0.9999999999999981,1.0,0.39143756676224206
Karate,w/o bias (p=q=1),1,2,2,1.0,1.0,0.9999999999999981,1.0,0.39143756676224206
Karate,PHSCD (full),2,2,2,0.6772430411026017,0.7716262975778547,0.8823529411764689,0.9411764705882353,0.3998332115215232
Karate,w/o persistence,2,2,2,0.6772430411026017,0.7716262975778547,0.8823529411764689,0.9411764705882353,0.3998332115215232
Karate,w/o seeds,2,2,4,0.5878497068250673,0.46459109844332386,0.6459330143540654,0.9705882352941176,0.44490358126721763
Karate,w/o refinement,2,2,2,0.8371694628777809,0.8822575413558222,0.939449541284402,0.9705882352941176,0.40362811791383213
Karate,w/o bias (p=q=1),2,2,2,0.6772430411026017,0.7716262975778547,0.8823529411764689,0.9411764705882353,0.3998332115215232
Dolphins,PHSCD (full),0,2,2,0.756082152676086,0.8122028032648088,0.9118964659034341,0.9516129032258065,0.38962066373956716
Dolphins,w/o persistence,0,2,2,0.756082152676086,0.8122028032648088,0.9118964659034341,0.9516129032258065,0.38962066373956716
Dolphins,w/o seeds,0,2,4,0.5818485532410117,0.4123150323211193,0.6164021164021161,0.9838709677419355,0.523416795221708
Dolphins,w/o refinement,0,2,2,1.0,1.0,0.9999999999999996,1.0,0.3787033740753925
Dolphins,w/o bias (p=q=1),0,2,2,0.8164962681247925,0.8724985166405955,0.9407114624505925,0.967741935483871,0.38985799612357097
Dolphins,PHSCD (full),1,2,2,0.756082152676086,0.8122028032648088,0.9118964659034341,0.9516129032258065,0.38962066373956716
Dolphins,w/o persistence,1,2,2,0.756082152676086,0.8122028032648088,0.9118964659034341,0.9516129032258065,0.38962066373956716
Dolphins,w/o seeds,1,2,4,0.6404176266661252,0.4389643578969692,0.632138114209827,1.0,0.5213599145603418
Dolphins,w/o refinement,1,2,2,1.0,1.0,0.9999999999999996,1.0,0.3787033740753925
Dolphins,w/o bias (p=q=1),1,2,2,0.756082152676086,0.8122028032648088,0.9118964659034341,0.9516129032258065,0.38962066373956716
Dolphins,PHSCD (full),2,2,2,0.8164962681247925,0.8724985166405955,0.9407114624505925,0.967741935483871,0.38985799612357097
Dolphins,w/o persistence,2,2,2,0.8164962681247925,0.8724985166405955,0.9407114624505925,0.967741935483871,0.38985799612357097
Dolphins,w/o seeds,2,2,5,0.4902626036858885,0.3071317967769274,0.5113314447592064,0.9516129032258065,0.51645504529093
Dolphins,w/o refinement,2,2,2,1.0,1.0,0.9999999999999996,1.0,0.3787033740753925
Dolphins,w/o bias (p=q=1),2,2,2,0.8164962681247925,0.8724985166405955,0.9407114624505925,0.967741935483871,0.38985799612357097
Polbooks,PHSCD (full),0,3,3,0.5755242524721222,0.6842520847913027,0.8102775866024315,0.8476190476190476,0.48386988960361166
Polbooks,w/o persistence,0,3,3,0.5755242524721222,0.6842520847913027,0.8102775866024315,0.8476190476190476,0.48386988960361166
Polbooks,w/o seeds,0,3,6,0.49195791488393337,0.5078019254319917,0.6567505720823797,0.8476190476190476,0.5253546618949924
Polbooks,w/o refinement,0,3,3,0.5936774450749801,0.7027676057633918,0.8224596499204363,0.8571428571428571,0.48328371409032245
Polbooks,w/o bias (p=q=1),0,3,3,0.5755242524721222,0.6842520847913027,0.8102775866024315,0.8476190476190476,0.48386988960361166
Polbooks,PHSCD (full),1,3,3,0.5975965832429648,0.671032752376279,0.8012034251330709,0.8571428571428571,0.4840807071127771
Polbooks,w/o persistence,1,3,3,0.5975965832429648,0.671032752376279,0.8012034251330709,0.8571428571428571,0.4840807071127771
Polbooks,w/o seeds,1,3,4,0.5542620811140583,0.6425354517321931,0.7683209051169965,0.8380952380952381,0.5253803713473296
Polbooks,w/o refinement,1,3,3,0.5680801829711898,0.6403526087662039,0.785178449647647,0.8476190476190476,0.4790982152498187
Polbooks,w/o bias (p=q=1),1,3,3,0.5685878302394888,0.6698504540776609,0.7954818553232395,0.8476190476190476,0.5135128881484566
Polbooks,PHSCD (full),2,3,3,0.5604340515325832,0.6664371680090093,0.7984262902105992,0.8380952380952381,0.4966269198533533
Polbooks,w/o persistence,2,3,3,0.5604340515325832,0.6664371680090093,0.7984262902105992,0.8380952380952381,0.4966269198533533
Polbooks,w/o seeds,2,3,5,0.49257717926200845,0.5108557363838777,0.6649944258639909,0.8380952380952381,0.5238429460975622
Polbooks,w/o refinement,2,3,3,0.5534860479024745,0.6594908067899102,0.797562626946513,0.8380952380952381,0.49358806258709076
Polbooks,w/o bias (p=q=1),2,3,3,0.5604340515325832,0.6664371680090093,0.7984262902105992,0.8380952380952381,0.4966269198533533
Football,PHSCD (full),0,12,12,0.9085646702415612,0.8462523849689446,0.8592057761732845,0.9043478260869565,0.5972938161476865
Football,w/o persistence,0,12,12,0.9085646702415612,0.8462523849689446,0.8592057761732845,0.9043478260869565,0.5972938161476865
Football,w/o seeds,0,12,10,0.8922958402213,0.8165463913618678,0.8324607329842926,0.8695652173913043,0.6044285185845559
Football,w/o refinement,0,12,12,0.8957536998963206,0.8406646953982684,0.8540344514959195,0.9043478260869565,0.5864733386734936
Football,w/o bias (p=q=1),0,12,12,0.910570499994938,0.856654338502415,0.8686131386861307,0.9043478260869565,0.5989916677533271
Football,PHSCD (full),1,12,12,0.9275341831175871,0.8892021200418698,0.8983364140480584,0.9304347826086956,0.5965327102555027
Football,w/o persistence,1,12,12,0.9275341831175871,0.8892021200418698,0.8983364140480584,0.9304347826086956,0.5965327102555027
Football,w/o seeds,1,12,11,0.9113703043876367,0.8568937861775577,0.8688524590163927,0.9043478260869565,0.6030633181555689
Football,w/o refinement,1,12,12,0.934833434102878,0.9096796134655728,0.9169811320754709,0.9391304347826087,0.5943531797460674
Football,w/o bias (p=q=1),1,12,12,0.9275341831175871,0.8892021200418698,0.8983364140480584,0.9304347826086956,0.5965327102555027
Football,PHSCD (full),2,12,12,0.9272628615575594,0.8902732698310588,0.8991517436380765,0.9304347826086956,0.5930199138300392
Football,w/o persistence,2,12,12,0.9272628615575594,0.8902732698310588,0.8991517436380765,0.9304347826086956,0.5930199138300392
Football,w/o seeds,2,12,11,0.9094587305457849,0.846506659813919,0.8594594594594588,0.9043478260869565,0.6032043622544702
Football,w/o refinement,2,12,12,0.9272628615575594,0.8902732698310588,0.8991517436380765,0.9304347826086956,0.5930199138300392
Football,w/o bias (p=q=1),2,12,12,0.9147521240392288,0.8508094728422009,0.863348416289592,0.9130434782608695,0.5956345520785375
Polblogs,PHSCD (full),0,2,2,0.7567903256850295,0.8429014137656613,0.9216466504611616,0.9590834697217676,0.425309340570542
Polblogs,w/o persistence,0,2,2,0.7567903256850295,0.8429014137656613,0.9216466504611616,0.9590834697217676,0.425309340570542
Polblogs,w/o seeds,0,2,2,0.7401840123067658,0.8279286127560725,0.9142311942689841,0.9549918166939444,0.4256683210659351
Polblogs,w/o refinement,0,2,2,0.7610524597173597,0.8459119924085764,0.9231571390182371,0.9599018003273322,0.4246179100725723
Polblogs,w/o bias (p=q=1),0,2,2,0.7404422411958923,0.8309127206794316,0.9156301918492815,0.955810147299509,0.4252807446261496
Polblogs,PHSCD (full),1,2,2,0.7576647664115772,0.8429013502758896,0.9216650848182657,0.9590834697217676,0.425111601324346
Polblogs,w/o persistence,1,2,2,0.7576647664115772,0.8429013502758896,0.9216650848182657,0.9590834697217676,0.425111601324346
Polblogs,w/o seeds,1,2,2,0.7401840123067658,0.8279286127560725,0.9142311942689841,0.9549918166939444,0.4256683210659351
Polblogs,w/o refinement,1,2,2,0.7564446508346419,0.839895926733851,0.9202172214095345,0.9582651391162029,0.4247031054755315
Polblogs,w/o bias (p=q=1),1,2,2,0.7492194104612414,0.8368962800939049,0.9186515736187214,0.9574468085106383,0.4251253471372605
Polblogs,PHSCD (full),2,2,2,0.7297978339495799,0.8219773779153395,0.9111811086812591,0.953355155482815,0.419952939133297
Polblogs,w/o persistence,2,2,2,0.7297978339495799,0.8219773779153395,0.9111811086812591,0.953355155482815,0.419952939133297
Polblogs,w/o seeds,2,2,2,0.7128881712740937,0.8071923153246818,0.9038366399516509,0.9492635024549918,0.42565434615613873
Polblogs,w/o refinement,2,2,2,0.7588342878305712,0.8459121664899013,0.9231065607654427,0.9599018003273322,0.41912394669665853
Polblogs,w/o bias (p=q=1),2,2,2,0.7458693911059678,0.8339017226657301,0.9171676820667904,0.9566284779050737,0.41998095517620704
LFR(mu=0.4),PHSCD (full),0,19,19,0.9069412466626083,0.8927286085027347,0.8995582386140326,0.943,0.37022872314484967
LFR(mu=0.4),w/o persistence,0,19,19,0.9069412466626083,0.8927286085027347,0.8995582386140326,0.943,0.37022872314484967
LFR(mu=0.4),w/o seeds,0,19,15,0.8032104408227064,0.7403804583968455,0.7586555187699905,0.82,0.3674541209747755
LFR(mu=0.4),w/o refinement,0,19,19,0.8687169628140482,0.8361681821107159,0.8465347317798554,0.92,0.36290768281576596
LFR(mu=0.4),w/o bias (p=q=1),0,19,19,0.9056538295905089,0.8907720397052796,0.8977222676650097,0.942,0.3702571505045247
LFR(mu=0.4),PHSCD (full),1,19,19,0.9061006292180503,0.8943564209024281,0.9010586768905507,0.942,0.36975197369689505
LFR(mu=0.4),w/o persistence,1,19,19,0.9061006292180503,0.8943564209024281,0.9010586768905507,0.942,0.36975197369689505
LFR(mu=0.4),w/o seeds,1,19,20,0.8486183070406005,0.8094094180023833,0.8211364929680514,0.904,0.3598614357602915
LFR(mu=0.4),w/o refinement,1,19,19,0.8553848538586245,0.8186486525054827,0.8301505634291847,0.91,0.3610676166270283
LFR(mu=0.4),w/o bias (p=q=1),1,19,19,0.8990397246022176,0.884567782642088,0.8919101795464917,0.938,0.36982648139264007
