mu,rep,method,k_true,k_hat,NMI,ARI,runtime
0.1,0,Greedy,19,,0.89257646043171,0.7638979723662982,5.34997820854187
0.1,0,Infomap,19,,1.0,1.0,0.5426442623138428
0.1,0,LPA,19,,1.0,1.0,0.0771341323852539
0.1,0,Leiden,19,,1.0,1.0,0.2090260982513427
0.1,0,Louvain,19,,1.0,1.0,0.4396965503692627
0.1,0,N2V+KM,19,,1.0,1.0,140.13978385925293
0.1,0,PHSCD,19,19.0,1.0,1.0,176.27557492256165
0.1,0,Spectral,19,,1.0,1.0,1.0261197090148926
0.1,1,Greedy,21,,0.8925228130501053,0.7448649005082217,7.551823616027832
0.1,1,Infomap,21,,1.0,1.0,0.5820956230163574
0.1,1,LPA,21,,1.0,1.0,0.1645994186401367
0.1,1,Leiden,21,,1.0,1.0,0.7231948375701904
0.1,1,Louvain,21,,1.0,1.0,0.3492217063903808
0.1,1,N2V+KM,21,,1.0,1.0,159.18281936645508
0.1,1,PHSCD,21,21.0,1.0,1.0,184.99524116516116
0.1,1,Spectral,21,,1.0,1.0,1.7429640293121338
0.1,2,Greedy,22,,0.9118244841311977,0.7648538628341555,9.418089628219604
0.1,2,Infomap,22,,1.0,1.0,0.9045794010162354
0.1,2,LPA,22,,1.0,1.0,0.1597406864166259
0.1,2,Leiden,22,,1.0,1.0,0.6261699199676514
0.1,2,Louvain,22,,1.0,1.0,0.9258384704589844
0.1,2,N2V+KM,22,,1.0,1.0,134.26719212532043
0.1,2,PHSCD,22,22.0,1.0,1.0,132.97999811172485
0.1,2,Spectral,22,,1.0,1.0,1.1871919631958008
0.2,0,Greedy,19,,0.7360979073882675,0.4846121746387773,9.93390703201294
0.2,0,Infomap,19,,1.0,1.0,0.5934145450592041
0.2,0,LPA,19,,1.0,1.0,0.3297648429870605
0.2,0,Leiden,19,,1.0,1.0,0.3288819789886474
0.2,0,Louvain,19,,1.0,1.0,0.8067028522491455
0.2,0,N2V+KM,19,,0.9982079190633892,0.9977618144029046,71.50624537467957
0.2,0,PHSCD,19,19.0,1.0,1.0,37.95614647865296
0.2,0,Spectral,19,,0.996382336680336,0.9953653317550206,1.691570520401001
0.2,1,Greedy,21,,0.7453436255651695,0.5019487824309115,2.3341708183288574
0.2,1,Infomap,21,,1.0,1.0,0.21346116065979
0.2,1,LPA,21,,1.0,1.0,0.0420167446136474
0.2,1,Leiden,21,,0.9941152295267192,0.9881397149650188,0.0998318195343017
0.2,1,Louvain,21,,0.9941152295267192,0.9881397149650188,0.1485302448272705
0.2,1,N2V+KM,21,,0.9831111754692624,0.9430890836732536,47.77253556251526
0.2,1,PHSCD,21,21.0,1.0,1.0,71.611492395401
0.2,1,Spectral,21,,1.0,1.0,0.2216236591339111
0.2,2,Greedy,22,,0.7186236875353881,0.4554520175020239,5.895900726318359
0.2,2,Infomap,22,,0.998420692965218,0.9982086918717769,0.5253255367279053
0.2,2,LPA,22,,1.0,1.0,0.1194996833801269
0.2,2,Leiden,22,,0.998420692965218,0.9982086918717769,0.2091586589813232
0.2,2,Louvain,22,,0.998420692965218,0.9982086918717769,0.4541318416595459
0.2,2,N2V+KM,22,,0.9724883215924056,0.9573083158149708,67.60769963264465
0.2,2,PHSCD,22,22.0,0.998420692965218,0.9982086918717769,78.76051115989685
0.2,2,Spectral,22,,1.0,1.0,0.3322391510009765
0.3,0,Greedy,19,,0.6166887661902131,0.3506151518461338,8.381550550460815
0.3,0,Infomap,19,,0.9914311565645798,0.988675446151813,0.678884744644165
0.3,0,LPA,19,,0.9707659574652364,0.9505673548904208,0.1021137237548828
0.3,0,Leiden,19,,0.979228087358024,0.9546360144832696,0.2473931312561035
0.3,0,Louvain,19,,0.9805901073374742,0.9567000271502532,0.4299616813659668
0.3,0,N2V+KM,19,,0.9857048079516992,0.9800631110682836,58.5285267829895
0.3,0,PHSCD,19,19.0,0.9913790100921864,0.9881237949931632,33.32747459411621
