n,m,method,runtime,NMI
500,4679,Louvain,0.20312905311584473,0.8229421930977537
500,4679,Leiden,0.14626669883728027,0.8488667715088205
500,4679,Infomap,0.20172858238220215,0.0
500,4679,Spectral,0.33125948905944824,0.8151262702024017
500,4679,N2V+KM,27.751615285873413,0.6573796692293283
500,4679,PHSCD,16.401336431503296,0.8608829640495158
1000,9390,Louvain,0.34441137313842773,0.8064603517692421
1000,9390,Leiden,0.13479042053222656,0.8162866648951518
1000,9390,Infomap,0.36106085777282715,0.8856109428035543
1000,9390,Spectral,0.29353904724121094,0.8636024559996862
1000,9390,N2V+KM,30.58001947402954,0.7934617913198709
1000,9390,PHSCD,50.777047872543335,0.9069412466626083
2000,18987,Louvain,0.4583916664123535,0.8879890383959522
2000,18987,Leiden,0.29683399200439453,0.9015178556495165
2000,18987,Infomap,0.7115790843963623,0.9581778223224666
2000,18987,Spectral,1.1186165809631348,0.9411376405234606
2000,18987,N2V+KM,69.72375535964966,0.9237907808546411
2000,18987,PHSCD,87.26508569717407,0.9549131777312282
4000,37898,Louvain,1.1906206607818604,0.860923371607577
4000,37898,Leiden,0.6335093975067139,0.8711508831474631
4000,37898,Infomap,1.4903590679168701,0.9744103626486188
4000,37898,Spectral,10.30186915397644,0.946525984069329
4000,37898,N2V+KM,131.79509949684143,0.9086220252447736
4000,37898,PHSCD,470.30805015563965,0.9726739102932175
