dataset,p,q,NMI
Polbooks,0.25,0.25,0.5747586085297282
Polbooks,0.25,0.5,0.5662292129882112
Polbooks,0.25,1.0,0.5732290330713964
Polbooks,0.25,2.0,0.5755242524721222
Polbooks,0.25,4.0,0.5775304361173071
Polbooks,0.5,0.25,0.5727524248845431
Polbooks,0.5,0.5,0.5747586085297282
Polbooks,0.5,1.0,0.5755242524721222
Polbooks,0.5,2.0,0.5755242524721222
Polbooks,0.5,4.0,0.5755242524721222
Polbooks,1.0,0.25,0.5775304361173071
Polbooks,1.0,0.5,0.5755242524721222
Polbooks,1.0,1.0,0.5710072242209752
Polbooks,1.0,2.0,0.5775304361173071
Polbooks,1.0,4.0,0.5727524248845431
Polbooks,2.0,0.25,0.5755242524721222
Polbooks,2.0,0.5,0.5755242524721222
Polbooks,2.0,1.0,0.5727524248845431
Polbooks,2.0,2.0,0.5755242524721222
Polbooks,2.0,4.0,0.5755242524721222
Polbooks,4.0,0.25,0.5727524248845431
Polbooks,4.0,0.5,0.5755242524721222
Polbooks,4.0,1.0,0.5727524248845431
Polbooks,4.0,2.0,0.5755242524721222
Polbooks,4.0,4.0,0.5755242524721222
Football,0.25,0.25,0.9099018900771458
Football,0.25,0.5,0.9060109343168864
Football,0.25,1.0,0.9092332801593535
Football,0.25,2.0,0.9099018900771457
Football,0.25,4.0,0.9099018900771457
Football,0.5,0.25,0.9105704999949381
Football,0.5,0.5,0.9092332801593535
Football,0.5,1.0,0.9092332801593535
Football,0.5,2.0,0.9099018900771457
Football,0.5,4.0,0.9086619801024641
Football,1.0,0.25,0.9076286332128407
Football,1.0,0.5,0.9066795442346787
Football,1.0,1.0,0.9092332801593535
Football,1.0,2.0,0.9099018900771458
Football,1.0,4.0,0.9092332801593535
Football,2.0,0.25,0.9105704999949381
Football,2.0,0.5,0.9105704999949381
Football,2.0,1.0,0.9085646702415612
Football,2.0,2.0,0.9105704999949381
Football,2.0,4.0,0.9099018900771458
Football,4.0,0.25,0.9071305648885927
Football,4.0,0.5,0.9105704999949381
Football,4.0,1.0,0.9092332801593535
Football,4.0,2.0,0.9042727211099856
Football,4.0,4.0,0.908661980102464
