dataset,ratio,NMI,NMI_std
Football,0.0,0.8859457670686398,0.02724870489835074
Football,0.02,0.899640110176354,0.021044923634327545
Football,0.05,0.899640110176354,0.021044923634327545
Football,0.1,0.899640110176354,0.021044923634327545
Football,0.15,0.899640110176354,0.021044923634327545
Football,0.2,0.9121947083025873,0.004321819503156431
Polblogs,0.0,0.725563860550149,0.0109774689235419
Polblogs,0.02,0.7329320897273156,0.011773372765655033
Polblogs,0.05,0.7410183556500097,0.012205549336683783
Polblogs,0.1,0.7441663927470407,0.01576976942131381
Polblogs,0.15,0.7556412810934323,0.022316384569679378
Polblogs,0.2,0.7765941850336451,0.007498759877908011
Polbooks,0.0,0.5455022164171724,0.03347971538060978
Polbooks,0.02,0.5750768237005134,0.04781607322576475
Polbooks,0.05,0.5812654278086106,0.017745429748346014
Polbooks,0.1,0.5654641185124295,0.00871233157456841
Polbooks,0.15,0.6295179302841465,0.023497833073305944
Polbooks,0.2,0.593124052005679,0.038710848504656344
