dataset,ratio,rep,NMI
Polbooks,0.0,0,0.5085133908057586
Polbooks,0.02,0,0.5474702009520274
Polbooks,0.05,0,0.6012427430962896
Polbooks,0.1,0,0.5755242524721222
Polbooks,0.15,0,0.6546082956779656
Polbooks,0.2,0,0.569474416289856
Polbooks,0.0,1,0.5542620811140583
Polbooks,0.02,1,0.5474702009520273
Polbooks,0.05,1,0.5673295645233097
Polbooks,0.1,1,0.5604340515325832
Polbooks,0.15,1,0.6259172057846032
Polbooks,0.2,1,0.572099960599627
Polbooks,0.0,2,0.5737311773317003
Polbooks,0.02,2,0.6302900691974858
Polbooks,0.05,2,0.5752239758062324
Polbooks,0.1,2,0.5604340515325832
Polbooks,0.15,2,0.6080282893898705
Polbooks,0.2,2,0.637797779127554
Football,0.0,0,0.9094587305457851
Football,0.02,0,0.9085646702415612
Football,0.05,0,0.9085646702415612
Football,0.1,0,0.9085646702415612
Football,0.15,0,0.9085646702415612
Football,0.2,0,0.9087091601845689
Football,0.0,1,0.8922958402213003
Football,0.02,1,0.8756035362482721
Football,0.05,1,0.8756035362482721
Football,0.1,1,0.8756035362482721
Football,0.15,1,0.8756035362482721
Football,0.2,1,0.9170304323378485
Football,0.0,2,0.8560827304388344
Football,0.02,2,0.9147521240392288
Football,0.05,2,0.9147521240392288
Football,0.1,2,0.9147521240392288
Football,0.15,2,0.9147521240392288
Football,0.2,2,0.9108445323853448
Polblogs,0.0,0,0.7319017051881767
Polblogs,0.02,0,0.7401840123067658
Polblogs,0.05,0,0.7458693911059678
Polblogs,0.1,0,0.7567903256850295
Polblogs,0.15,0,0.7560193573978926
Polblogs,0.2,0,0.7714236492469944
Polblogs,0.0,1,0.7319017051881767
Polblogs,0.02,1,0.7392645178884661
Polblogs,0.05,1,0.7500525947197991
Polblogs,0.1,1,0.7492194104612414
Polblogs,0.15,1,0.7777662254184031
Polblogs,0.2,1,0.7851944815607964
Polblogs,0.0,2,0.7128881712740937
Polblogs,0.02,2,0.7193477389867147
Polblogs,0.05,2,0.7271330811242622
Polblogs,0.1,2,0.7264894420948511
Polblogs,0.15,2,0.7331382604640013
Polblogs,0.2,2,0.7731644242931446
